time;hr
1507973340;72
1507973460;55
1507973580;68
1507973700;65
1507973940;58
1507974060;53
1507974180;65
1507974300;75
1507974420;72
1507974540;61
1507974660;72
1507974780;62
1507974900;72
1507993920;66
1507994040;69
1507994160;64
1507994280;68
1507994400;75
1507994520;68
1507994760;79
1507994880;67
1507995000;62
1507995120;64
1507995240;66
1507995360;59
1507995600;68
1507995840;75
1507995960;65
1507996080;72
1507996200;55
1507996320;48
1507996440;83
1507996560;66
1507996680;74
1507996800;68
1507997160;65
1507997280;71
1507997400;62
1507997520;63
1507997640;72
1507997760;72
1507997880;62
1507998000;56
1507998120;68
1507998240;71
1507998360;77
1507998480;64
1507998600;71
1507998720;69
1507998840;67
1507998960;58
1507999080;65
1507999200;82
1507999320;73
1507999440;56
1507999560;73
1507999680;122
1508017140;73
1508017260;79
1508017380;81
1508017500;75
1508017620;78
1508017860;65
1508020680;78
1508020800;77
1508020920;77
1508021040;78
1508021160;82
1508021280;89
1508021400;76
1508021520;81
1508021640;74
1508025480;95
1508025600;58
1508025720;58
1508025840;64
1508025960;56
1508026080;56
1508026200;52
1508026320;59
1508026440;52
1508026680;69
1508032320;64
1508032560;54
1508032680;59
1508032800;55
1508032920;69
1508033040;74
1508033160;76
1508033280;68
1508033400;54
1508033520;56
1508033640;71
1508033760;79
1508033880;61
1508034000;59
1508034120;62
1508034240;56
1508035380;58
1508035500;54
1508035620;53
1508035740;49
1508035860;58
1508035980;56
1508036100;54
1508036460;54
1508036700;52
1508036820;56
1508037060;75
1508042040;52
1508042160;58
1508042280;48
1508042400;62
1508042520;56
1508042640;58
1508042760;57
1508042880;58
1508043000;57
1508043120;42
1508043240;54
1508043360;48
1508043480;51
1508043600;54
1508043720;57
1508043840;53
1508043960;54
1508044080;54
1508044200;54
1508044320;56
1508044440;57
1508044560;51
1508044680;54
1508044800;56
1508044920;46
1508045040;43
1508045160;62
1508045280;64
1508045400;52
1508045520;53
1508045640;61
1508045880;47
1508046000;57
1508046120;66
1508046240;83
1508046360;53
1508046480;48
1508046600;52
1508046720;46
1508046840;65
1508047080;62
1508047200;59
1508047440;106
1508047560;58
1508047680;65
1508047800;58
1508047920;69
1508048160;52
1508048280;53
1508048400;62
1508048520;56
1508048640;58
1508048760;67
1508048880;57
1508049000;71
1508049120;61
1508049240;61
1508049360;63
1508049480;58
1508049600;58
1508049720;65
1508049840;56
1508050080;59
1508050320;46
1508050440;56
1508050560;62
1508050680;67
1508050800;52
1508050920;52
1508051040;67
1508051160;47
1508051280;47
1508051400;46
1508051520;58
1508051640;53
1508051760;44
1508051880;48
1508052000;67
1508052120;57
1508052240;64
1508052480;64
1508052600;68
1508052840;67
1508052960;65
1508053080;62
1508053200;95
1508053320;69
1508053440;87
1508053560;73
1508110140;62
1508110380;65
1508110500;62
1508110620;61
1508110740;55
1508110980;71
1508111100;68
1508111220;69
1508114100;61
1508114220;58
1508114340;61
1508114460;57
1508114580;57
1508114700;63
1508114820;61
1508114940;61
1508115060;65
1508115180;56
1508115300;74
1508115420;59
1508115540;81
1508115660;56
1508115780;72
1508115900;82
